tanggal_lengkap,cabe_rawit_merah,lag_1
2023-07-07,20000.0,20000.0
2023-07-08,20000.0,20000.0
2023-07-09,20000.0,20000.0
2023-07-10,20000.0,20000.0
2023-07-11,20000.0,20000.0
2023-07-12,20000.0,20000.0
2023-07-13,20000.0,20000.0
2023-07-14,20000.0,20000.0
2023-07-15,20000.0,20000.0
2023-07-16,20000.0,20000.0
2023-07-17,20000.0,20000.0
2023-07-18,20000.0,20000.0
2023-07-19,20000.0,20000.0
2023-07-20,30000.0,20000.0
2023-07-21,30000.0,30000.0
2023-07-22,30000.0,30000.0
2023-07-23,30000.0,30000.0
2023-07-24,32000.0,30000.0
2023-07-25,32000.0,32000.0
2023-07-26,30000.0,32000.0
2023-07-27,30000.0,30000.0
2023-07-28,30000.0,30000.0
2023-07-29,30000.0,30000.0
2023-07-30,30000.0,30000.0
2023-07-31,30000.0,30000.0
2023-08-01,40000.0,30000.0
2023-08-02,40000.0,40000.0
2023-08-03,37000.0,40000.0
2023-08-04,37000.0,37000.0
2023-08-05,37000.0,37000.0
2023-08-06,37000.0,37000.0
2023-08-07,37000.0,37000.0
2023-08-08,35000.0,37000.0
2023-08-09,35000.0,35000.0
2023-08-10,35000.0,35000.0
2023-08-11,35000.0,35000.0
2023-08-12,35000.0,35000.0
2023-08-13,35000.0,35000.0
2023-08-14,42000.0,35000.0
2023-08-15,42000.0,42000.0
2023-08-16,42000.0,42000.0
2023-08-17,42000.0,42000.0
2023-08-18,45000.0,42000.0
2023-08-19,45000.0,45000.0
2023-08-20,45000.0,45000.0
2023-08-21,40000.0,45000.0
2023-08-22,40000.0,40000.0
2023-08-23,40000.0,40000.0
2023-08-24,30000.0,40000.0
2023-08-25,30000.0,30000.0
2023-08-26,30000.0,30000.0
2023-08-27,30000.0,30000.0
2023-08-28,30000.0,30000.0
2023-08-29,28000.0,30000.0
2023-08-30,28000.0,28000.0
2023-08-31,28000.0,28000.0
2023-09-01,28000.0,28000.0
2023-09-02,28000.0,28000.0
2023-09-03,28000.0,28000.0
2023-09-04,30000.0,28000.0
2023-09-05,30000.0,30000.0
2023-09-06,30000.0,30000.0
2023-09-07,30000.0,30000.0
2023-09-08,30000.0,30000.0
2023-09-09,30000.0,30000.0
2023-09-10,30000.0,30000.0
2023-09-11,30000.0,30000.0
2023-09-12,23000.0,30000.0
2023-09-13,25000.0,23000.0
2023-09-14,25000.0,25000.0
2023-09-15,25000.0,25000.0
2023-09-16,25000.0,25000.0
2023-09-17,25000.0,25000.0
2023-09-18,27000.0,25000.0
2023-09-19,27000.0,27000.0
